web-scraper-order,web-scraper-start-url,job-link,job-link-href,job-title,job-address,job-details,job-location,job-summary,job-type,job-location-2
1707913118-21,https://ca.indeed.com/jobs?q=home%20hardware&l=Kanata%2C%20ON&from=searchOnHP,Project Manager,https://ca.indeed.com/rc/clk?jk=f5858dc614645b78&bb=pXAQ2TfHWy1TNIh94LZB1h9FaBAMsjwemRYt3pdykpbbnw0_sZNhpEM7CxuyV9zeNk1Ns5U1xPI2FZ2pcWX8etT5a23I8YDSmjNdGoYONtA%3D&xkcb=SoDV67M3ET5gnoWbJZ0AbzkdCdPP&fccid=b920aab5fd60595d&vjs=3,Project Manager,"Ottawa, ON",,"Ottawa, ON",,Full-time,"Ottawa, ON"
1707913118-22,https://ca.indeed.com/jobs?q=home%20hardware&l=Kanata%2C%20ON&from=searchOnHP,Project Manager,https://ca.indeed.com/rc/clk?jk=f5858dc614645b78&bb=pXAQ2TfHWy1TNIh94LZB1h9FaBAMsjwemRYt3pdykpbbnw0_sZNhpEM7CxuyV9zeNk1Ns5U1xPI2FZ2pcWX8etT5a23I8YDSmjNdGoYONtA%3D&xkcb=SoDV67M3ET5gnoWbJZ0AbzkdCdPP&fccid=b920aab5fd60595d&vjs=3,Project Manager,"Ottawa, ON","Plan, organize, lead and control the area and staff assigned to achieve outcomes within the delegated authorities and responsibilities for the Project assigned.","Ottawa, ON",,Full-time,"Ottawa, ON"
1707913118-23,https://ca.indeed.com/jobs?q=home%20hardware&l=Kanata%2C%20ON&from=searchOnHP,Project Manager,https://ca.indeed.com/rc/clk?jk=f5858dc614645b78&bb=pXAQ2TfHWy1TNIh94LZB1h9FaBAMsjwemRYt3pdykpbbnw0_sZNhpEM7CxuyV9zeNk1Ns5U1xPI2FZ2pcWX8etT5a23I8YDSmjNdGoYONtA%3D&xkcb=SoDV67M3ET5gnoWbJZ0AbzkdCdPP&fccid=b920aab5fd60595d&vjs=3,Project Manager,"Ottawa, ON",Establish and control the project business rhythm and governance for the overall Project.,"Ottawa, ON",,Full-time,"Ottawa, ON"
1707913118-24,https://ca.indeed.com/jobs?q=home%20hardware&l=Kanata%2C%20ON&from=searchOnHP,Project Manager,https://ca.indeed.com/rc/clk?jk=f5858dc614645b78&bb=pXAQ2TfHWy1TNIh94LZB1h9FaBAMsjwemRYt3pdykpbbnw0_sZNhpEM7CxuyV9zeNk1Ns5U1xPI2FZ2pcWX8etT5a23I8YDSmjNdGoYONtA%3D&xkcb=SoDV67M3ET5gnoWbJZ0AbzkdCdPP&fccid=b920aab5fd60595d&vjs=3,Project Manager,"Ottawa, ON",Ensure that Thales project management methodology and a suitable program management framework are used throughout the entire project lifecycle to meet financial objectives and customer commitments.,"Ottawa, ON",,Full-time,"Ottawa, ON"
1707913118-25,https://ca.indeed.com/jobs?q=home%20hardware&l=Kanata%2C%20ON&from=searchOnHP,Project Manager,https://ca.indeed.com/rc/clk?jk=f5858dc614645b78&bb=pXAQ2TfHWy1TNIh94LZB1h9FaBAMsjwemRYt3pdykpbbnw0_sZNhpEM7CxuyV9zeNk1Ns5U1xPI2FZ2pcWX8etT5a23I8YDSmjNdGoYONtA%3D&xkcb=SoDV67M3ET5gnoWbJZ0AbzkdCdPP&fccid=b920aab5fd60595d&vjs=3,Project Manager,"Ottawa, ON","Develop a robust, optimized project schedule.","Ottawa, ON",,Full-time,"Ottawa, ON"
1707913118-26,https://ca.indeed.com/jobs?q=home%20hardware&l=Kanata%2C%20ON&from=searchOnHP,Project Manager,https://ca.indeed.com/rc/clk?jk=f5858dc614645b78&bb=pXAQ2TfHWy1TNIh94LZB1h9FaBAMsjwemRYt3pdykpbbnw0_sZNhpEM7CxuyV9zeNk1Ns5U1xPI2FZ2pcWX8etT5a23I8YDSmjNdGoYONtA%3D&xkcb=SoDV67M3ET5gnoWbJZ0AbzkdCdPP&fccid=b920aab5fd60595d&vjs=3,Project Manager,"Ottawa, ON","Manage and track the cost, schedule and technical performance of all aspects of the Project assigned against the approved baseline.","Ottawa, ON",,Full-time,"Ottawa, ON"
1707913118-27,https://ca.indeed.com/jobs?q=home%20hardware&l=Kanata%2C%20ON&from=searchOnHP,Project Manager,https://ca.indeed.com/rc/clk?jk=f5858dc614645b78&bb=pXAQ2TfHWy1TNIh94LZB1h9FaBAMsjwemRYt3pdykpbbnw0_sZNhpEM7CxuyV9zeNk1Ns5U1xPI2FZ2pcWX8etT5a23I8YDSmjNdGoYONtA%3D&xkcb=SoDV67M3ET5gnoWbJZ0AbzkdCdPP&fccid=b920aab5fd60595d&vjs=3,Project Manager,"Ottawa, ON","Be accountable for monitoring/control of Work Breakdown Structures (WBS), schedule, risk register, scope change, on time delivery and EAC within the project.","Ottawa, ON",,Full-time,"Ottawa, ON"
1707913118-28,https://ca.indeed.com/jobs?q=home%20hardware&l=Kanata%2C%20ON&from=searchOnHP,Project Manager,https://ca.indeed.com/rc/clk?jk=f5858dc614645b78&bb=pXAQ2TfHWy1TNIh94LZB1h9FaBAMsjwemRYt3pdykpbbnw0_sZNhpEM7CxuyV9zeNk1Ns5U1xPI2FZ2pcWX8etT5a23I8YDSmjNdGoYONtA%3D&xkcb=SoDV67M3ET5gnoWbJZ0AbzkdCdPP&fccid=b920aab5fd60595d&vjs=3,Project Manager,"Ottawa, ON",Oversee achievement of project performance objectives and indicators.,"Ottawa, ON",,Full-time,"Ottawa, ON"
1707913118-29,https://ca.indeed.com/jobs?q=home%20hardware&l=Kanata%2C%20ON&from=searchOnHP,Project Manager,https://ca.indeed.com/rc/clk?jk=f5858dc614645b78&bb=pXAQ2TfHWy1TNIh94LZB1h9FaBAMsjwemRYt3pdykpbbnw0_sZNhpEM7CxuyV9zeNk1Ns5U1xPI2FZ2pcWX8etT5a23I8YDSmjNdGoYONtA%3D&xkcb=SoDV67M3ET5gnoWbJZ0AbzkdCdPP&fccid=b920aab5fd60595d&vjs=3,Project Manager,"Ottawa, ON",Identify support and resources needed to achieve the project objectives with input of the Resource Managers and key stakeholders.,"Ottawa, ON",,Full-time,"Ottawa, ON"
1707913118-30,https://ca.indeed.com/jobs?q=home%20hardware&l=Kanata%2C%20ON&from=searchOnHP,Project Manager,https://ca.indeed.com/rc/clk?jk=f5858dc614645b78&bb=pXAQ2TfHWy1TNIh94LZB1h9FaBAMsjwemRYt3pdykpbbnw0_sZNhpEM7CxuyV9zeNk1Ns5U1xPI2FZ2pcWX8etT5a23I8YDSmjNdGoYONtA%3D&xkcb=SoDV67M3ET5gnoWbJZ0AbzkdCdPP&fccid=b920aab5fd60595d&vjs=3,Project Manager,"Ottawa, ON",Manage all customer / stakeholder relationships to ensure other responsibilities/accountabilities are achieved.,"Ottawa, ON",,Full-time,"Ottawa, ON"
